company,canonicalIdentity,identityState,identityConfidence,autoAttached,referenceEventCategory,referenceEventOutcome,earliestFailure,tavilyCalls,exaFallbackCalls,rawResults,relevantEvidence,directEventEvidence,approvedFacts,rejectedRelevantFacts,signals,supportedSignals,unsupportedSignals,whenState,opportunityState,whyStatus,nba,estimatedCost,actualKnownCost,unknownActualCostCalls
SolarWinds,SolarWinds,CONFIRMED,1,false,SECURITY_LEADERSHIP,EVENT_NOT_DETECTED,FACT_EXTRACTION_FAILURE,3,1,50,6,1,6,0,0,0,0,INSUFFICIENT_EVIDENCE,WATCH,INSUFFICIENT_EVIDENCE,RESEARCH_MORE,0.037,0.017,3
First Horizon,First Horizon Bank,CONFIRMED,1,false,SECURITY_LEADERSHIP,EVENT_NOT_DETECTED,FACT_EXTRACTION_FAILURE,2,2,60,2,27,3,0,0,0,0,INSUFFICIENT_EVIDENCE,WATCH,INSUFFICIENT_EVIDENCE,RESEARCH_MORE,0.034,0.03,2
GitLab,GitLab,CONFIRMED,1,false,SECURITY_LEADERSHIP,EVENT_DETECTED,,3,1,50,6,1,8,0,1,1,0,RECENT_EVENT / EMERGING,RISING,INSUFFICIENT_EVIDENCE,CONTACT_NOW,0.037,0.015,3
Infoblox,Infoblox,CONFIRMED,1,false,SECURITY_LEADERSHIP,EVENT_PARTIALLY_DETECTED,TEMPORAL_FAILURE,2,2,60,5,2,5,0,2,0,2,INSUFFICIENT_EVIDENCE (temporal defect),RISING,INSUFFICIENT_EVIDENCE,CONTACT_NOW,0.034,0.031,2
Teradata,Teradata,CONFIRMED,1,false,SECURITY_LEADERSHIP,EVENT_NOT_DETECTED,FACT_EXTRACTION_FAILURE,3,1,50,3,4,3,0,0,0,0,INSUFFICIENT_EVIDENCE,WATCH,INSUFFICIENT_EVIDENCE,RESEARCH_MORE,0.037,0.016,3
Nubank,Nubank,CONFIRMED,1,false,SECURITY_LEADERSHIP,EVENT_NOT_DETECTED,FACT_EXTRACTION_FAILURE,1,3,70,1,1,1,0,0,0,0,INSUFFICIENT_EVIDENCE,WATCH,INSUFFICIENT_EVIDENCE,RESEARCH_MORE,0.031,0.048,1
Black Duck,Black Duck,CONFIRMED,1,false,SECURITY_LEADERSHIP,EVENT_DETECTED,,2,2,60,5,43,7,0,2,1,1,RECENT_EVENT / EMERGING,RISING,INSUFFICIENT_EVIDENCE,CONTACT_NOW,0.034,0.032,2
OpenAssets,OpenAssets,CONFIRMED,1,false,FUNDED_RISK_PROGRAM,EVENT_PARTIALLY_DETECTED,TEMPORAL_FAILURE,1,3,70,1,2,2,0,0,0,0,INSUFFICIENT_EVIDENCE (temporal defect),WATCH,INSUFFICIENT_EVIDENCE,RESEARCH_MORE,0.031,0.05,1
Black & McDonald,Black & McDonald Limited,CONFIRMED,1,false,FUNDED_RISK_PROGRAM,EVENT_NOT_DETECTED,FACT_EXTRACTION_FAILURE,2,2,60,2,6,2,0,0,0,0,INSUFFICIENT_EVIDENCE,WATCH,INSUFFICIENT_EVIDENCE,RESEARCH_MORE,0.034,0.032,2
RAKBANK,RAKBANK,CONFIRMED,1,false,SECURITY_STACK_CHANGE,EVENT_NOT_DETECTED,FACT_EXTRACTION_FAILURE,1,3,70,1,1,1,0,1,0,1,INSUFFICIENT_EVIDENCE,EMERGING,INSUFFICIENT_EVIDENCE,MONITOR,0.031,0.051,1
